data\cghd_text\cghd_017854.png	4148
data\cghd_text\cghd_031893.png	33K
data\cghd_text\cghd_002302.png	470Ω
data\cghd_text\cghd_023595.png	220kΩ
data\cghd_text\cghd_001785.png	220
data\cghd_text\cghd_011840.png	+
data\cghd_text\cghd_023478.png	100pF
data\cghd_text\cghd_023187.png	6
data\cghd_text\cghd_004578.png	7.6K
data\cghd_text\cghd_030123.png	13
data\cghd_text\cghd_010261.png	22K
data\cghd_text\cghd_017681.png	7
data\cghd_text\cghd_014325.png	6
data\cghd_text\cghd_015609.png	9
data\cghd_text\cghd_003541.png	1M
data\cghd_text\cghd_023661.png	56k
data\cghd_text\cghd_025515.png	+3.7V
data\cghd_text\cghd_001670.png	K1
data\cghd_text\cghd_008706.png	25
data\cghd_text\cghd_006527.png	3
data\cghd_text\cghd_032580.png	1
data\cghd_text\cghd_029760.png	13-15A
data\cghd_text\cghd_009079.png	5
data\cghd_text\cghd_029889.png	6
data\cghd_text\cghd_022625.png	270kΩ
data\cghd_text\cghd_008349.png	26
data\cghd_text\cghd_025692.png	A0
data\cghd_text\cghd_002180.png	9
data\cghd_text\cghd_000107.png	5V
data\cghd_text\cghd_028509.png	+5V
data\cghd_text\cghd_020127.png	6
data\cghd_text\cghd_021878.png	13
data\cghd_text\cghd_034784.png	8.2K
data\cghd_text\cghd_022502.png	150nF
data\cghd_text\cghd_018216.png	2
data\cghd_text\cghd_004795.png	7
data\cghd_text\cghd_018499.png	500
data\cghd_text\cghd_031041.png	-
data\cghd_text\cghd_019071.png	1.2K
data\cghd_text\cghd_015870.png	24
data\cghd_text\cghd_012832.png	3
data\cghd_text\cghd_008048.png	47K
data\cghd_text\cghd_012287.png	3
data\cghd_text\cghd_026165.png	380Ω
data\cghd_text\cghd_029839.png	6
data\cghd_text\cghd_029078.png	V2
data\cghd_text\cghd_020703.png	1K
data\cghd_text\cghd_008094.png	24K
data\cghd_text\cghd_009550.png	1
data\cghd_text\cghd_021735.png	3
data\cghd_text\cghd_027854.png	13
data\cghd_text\cghd_019609.png	V+
data\cghd_text\cghd_031235.png	2.2M
data\cghd_text\cghd_020955.png	7
data\cghd_text\cghd_022030.png	30
data\cghd_text\cghd_023839.png	4k7
data\cghd_text\cghd_009667.png	+5V
data\cghd_text\cghd_004563.png	24V
data\cghd_text\cghd_019169.png	2
data\cghd_text\cghd_023630.png	10Ω
data\cghd_text\cghd_033467.png	2K2
data\cghd_text\cghd_026363.png	AA
data\cghd_text\cghd_013485.png	1
data\cghd_text\cghd_032495.png	6
data\cghd_text\cghd_032217.png	100Ω
data\cghd_text\cghd_010038.png	22K
data\cghd_text\cghd_018933.png	10K
data\cghd_text\cghd_006267.png	1K
data\cghd_text\cghd_007845.png	8
data\cghd_text\cghd_010622.png	+5V
data\cghd_text\cghd_024167.png	20Ω
data\cghd_text\cghd_018302.png	5
data\cghd_text\cghd_020475.png	9V
data\cghd_text\cghd_009468.png	V+
data\cghd_text\cghd_029575.png	1K
data\cghd_text\cghd_008788.png	15
data\cghd_text\cghd_008244.png	26
data\cghd_text\cghd_031702.png	4069
data\cghd_text\cghd_029727.png	A2
data\cghd_text\cghd_016045.png	2
data\cghd_text\cghd_002981.png	16V
data\cghd_text\cghd_011045.png	11
data\cghd_text\cghd_015378.png	65
data\cghd_text\cghd_024354.png	10K
data\cghd_text\cghd_012651.png	1KΩ
data\cghd_text\cghd_015983.png	29
data\cghd_text\cghd_030272.png	23
data\cghd_text\cghd_015398.png	+5V
data\cghd_text\cghd_010097.png	10K
data\cghd_text\cghd_019614.png	1K
data\cghd_text\cghd_009944.png	6.8K
data\cghd_text\cghd_011189.png	7
data\cghd_text\cghd_015220.png	+5V
data\cghd_text\cghd_027744.png	180
data\cghd_text\cghd_029338.png	-
data\cghd_text\cghd_026424.png	50V
data\cghd_text\cghd_019848.png	5V
data\cghd_text\cghd_001309.png	555
data\cghd_text\cghd_026484.png	47k
data\cghd_text\cghd_027408.png	20mA
data\cghd_text\cghd_019309.png	10K
data\cghd_text\cghd_013674.png	2
data\cghd_text\cghd_034825.png	10
data\cghd_text\cghd_034802.png	8.2K
data\cghd_text\cghd_031216.png	150K
data\cghd_text\cghd_018293.png	100nF
data\cghd_text\cghd_009424.png	V+
data\cghd_text\cghd_027325.png	9V..12V
data\cghd_text\cghd_005153.png	V1
data\cghd_text\cghd_034821.png	A
data\cghd_text\cghd_019048.png	5
data\cghd_text\cghd_015707.png	3
data\cghd_text\cghd_029766.png	3
data\cghd_text\cghd_007363.png	+
data\cghd_text\cghd_014739.png	6
data\cghd_text\cghd_017297.png	1
data\cghd_text\cghd_022094.png	28
data\cghd_text\cghd_006311.png	6
data\cghd_text\cghd_018201.png	10
data\cghd_text\cghd_023664.png	10K
data\cghd_text\cghd_032437.png	220Ω
data\cghd_text\cghd_001406.png	5mm
data\cghd_text\cghd_014151.png	14
data\cghd_text\cghd_001955.png	1000uF
data\cghd_text\cghd_021968.png	8
data\cghd_text\cghd_029534.png	10K
data\cghd_text\cghd_007384.png	20nF
data\cghd_text\cghd_020652.png	5
data\cghd_text\cghd_013549.png	10K
data\cghd_text\cghd_008095.png	30mA
data\cghd_text\cghd_005397.png	+
data\cghd_text\cghd_030537.png	2
data\cghd_text\cghd_016822.png	25
data\cghd_text\cghd_015652.png	25
data\cghd_text\cghd_028222.png	9
data\cghd_text\cghd_004764.png	1K
data\cghd_text\cghd_034985.png	2004
data\cghd_text\cghd_004160.png	12V
data\cghd_text\cghd_029355.png	2
data\cghd_text\cghd_002323.png	15K
data\cghd_text\cghd_012709.png	1
data\cghd_text\cghd_018732.png	62K
data\cghd_text\cghd_003245.png	3
data\cghd_text\cghd_007016.png	120K
data\cghd_text\cghd_019864.png	2
data\cghd_text\cghd_030604.png	6V
data\cghd_text\cghd_015556.png	16
data\cghd_text\cghd_022759.png	1000p
data\cghd_text\cghd_006997.png	11K
data\cghd_text\cghd_015741.png	20K
data\cghd_text\cghd_028101.png	10
data\cghd_text\cghd_010470.png	30K
data\cghd_text\cghd_004491.png	300K
data\cghd_text\cghd_009939.png	6
data\cghd_text\cghd_023823.png	1K
data\cghd_text\cghd_008712.png	31
data\cghd_text\cghd_024607.png	+12V
data\cghd_text\cghd_000398.png	A0.7
data\cghd_text\cghd_016718.png	26
data\cghd_text\cghd_001965.png	140V
data\cghd_text\cghd_032640.png	12V
data\cghd_text\cghd_000366.png	100
data\cghd_text\cghd_031068.png	-
data\cghd_text\cghd_020951.png	18
data\cghd_text\cghd_029018.png	+
data\cghd_text\cghd_022438.png	22K
data\cghd_text\cghd_006633.png	1
data\cghd_text\cghd_020410.png	3
data\cghd_text\cghd_020360.png	11
data\cghd_text\cghd_035374.png	1
data\cghd_text\cghd_032906.png	6
data\cghd_text\cghd_035432.png	+9V
data\cghd_text\cghd_018541.png	220uF
data\cghd_text\cghd_034514.png	230V
data\cghd_text\cghd_008618.png	+5V
data\cghd_text\cghd_024785.png	+12V
data\cghd_text\cghd_031655.png	4069
data\cghd_text\cghd_006439.png	4
data\cghd_text\cghd_035030.png	12V
data\cghd_text\cghd_027553.png	100K
data\cghd_text\cghd_029587.png	47K
data\cghd_text\cghd_000790.png	330Ω
data\cghd_text\cghd_003965.png	9
data\cghd_text\cghd_028606.png	470
data\cghd_text\cghd_007970.png	-
data\cghd_text\cghd_016617.png	27
data\cghd_text\cghd_030786.png	26
data\cghd_text\cghd_026714.png	400V
data\cghd_text\cghd_011719.png	20KΩ
data\cghd_text\cghd_008610.png	8
data\cghd_text\cghd_033802.png	100n
data\cghd_text\cghd_025028.png	50KΩ
data\cghd_text\cghd_017499.png	10
data\cghd_text\cghd_013836.png	8
data\cghd_text\cghd_023649.png	10n
data\cghd_text\cghd_009139.png	13
data\cghd_text\cghd_019866.png	16
data\cghd_text\cghd_015520.png	1
data\cghd_text\cghd_022096.png	20
data\cghd_text\cghd_030530.png	1
data\cghd_text\cghd_021779.png	+5V
data\cghd_text\cghd_025587.png	F
data\cghd_text\cghd_014089.png	12M
data\cghd_text\cghd_012015.png	3.3KΩ
data\cghd_text\cghd_032308.png	8
data\cghd_text\cghd_018003.png	10
data\cghd_text\cghd_018978.png	10K
data\cghd_text\cghd_004325.png	3
data\cghd_text\cghd_004561.png	12V
data\cghd_text\cghd_005388.png	1uF
data\cghd_text\cghd_003327.png	200n
data\cghd_text\cghd_023367.png	1
data\cghd_text\cghd_014570.png	5K
data\cghd_text\cghd_007495.png	39
data\cghd_text\cghd_033924.png	+
data\cghd_text\cghd_027430.png	47K
data\cghd_text\cghd_007321.png	10KΩ
data\cghd_text\cghd_019036.png	4
data\cghd_text\cghd_009905.png	680K
data\cghd_text\cghd_034511.png	2.2K
data\cghd_text\cghd_012344.png	14
data\cghd_text\cghd_027422.png	470
data\cghd_text\cghd_012691.png	+2.5V
data\cghd_text\cghd_000186.png	3.3M
data\cghd_text\cghd_008160.png	15K
data\cghd_text\cghd_015933.png	10
data\cghd_text\cghd_023820.png	56k
data\cghd_text\cghd_024373.png	2u
data\cghd_text\cghd_025646.png	HV
data\cghd_text\cghd_030708.png	100uH
data\cghd_text\cghd_003593.png	22u
data\cghd_text\cghd_013983.png	34
data\cghd_text\cghd_010859.png	+
data\cghd_text\cghd_009512.png	7
data\cghd_text\cghd_001304.png	1
data\cghd_text\cghd_019699.png	2005
data\cghd_text\cghd_029139.png	7
data\cghd_text\cghd_018218.png	+5
data\cghd_text\cghd_005698.png	9
data\cghd_text\cghd_033849.png	A
data\cghd_text\cghd_016932.png	1
data\cghd_text\cghd_030753.png	-
data\cghd_text\cghd_017190.png	9
data\cghd_text\cghd_026619.png	10kΩ
data\cghd_text\cghd_012719.png	1kΩ
data\cghd_text\cghd_029764.png	11
data\cghd_text\cghd_015177.png	7
data\cghd_text\cghd_020448.png	100nF
data\cghd_text\cghd_019544.png	220uF
data\cghd_text\cghd_002264.png	2
data\cghd_text\cghd_014563.png	5K
data\cghd_text\cghd_016590.png	10K
data\cghd_text\cghd_023627.png	10Ω
data\cghd_text\cghd_030903.png	6
data\cghd_text\cghd_000337.png	1K
data\cghd_text\cghd_003111.png	300Ω
data\cghd_text\cghd_013454.png	19
data\cghd_text\cghd_007096.png	330K
data\cghd_text\cghd_014784.png	3
data\cghd_text\cghd_010151.png	100K
data\cghd_text\cghd_021539.png	7
data\cghd_text\cghd_023325.png	3.3k
data\cghd_text\cghd_031063.png	V0
data\cghd_text\cghd_007909.png	100
data\cghd_text\cghd_018167.png	12
data\cghd_text\cghd_012446.png	100kΩ
data\cghd_text\cghd_033554.png	47kΩ
data\cghd_text\cghd_003080.png	1-H-A
data\cghd_text\cghd_008040.png	-
data\cghd_text\cghd_018591.png	100K
data\cghd_text\cghd_003016.png	50V
data\cghd_text\cghd_008262.png	1
data\cghd_text\cghd_026307.png	100K
data\cghd_text\cghd_032845.png	3
data\cghd_text\cghd_026268.png	60Hz
data\cghd_text\cghd_001267.png	+
data\cghd_text\cghd_012450.png	10KΩ
data\cghd_text\cghd_000895.png	100KΩ
data\cghd_text\cghd_019854.png	5V
data\cghd_text\cghd_011503.png	100Ω
data\cghd_text\cghd_022907.png	3V
data\cghd_text\cghd_029045.png	V4
data\cghd_text\cghd_012574.png	8
data\cghd_text\cghd_030157.png	4
data\cghd_text\cghd_031307.png	22K
data\cghd_text\cghd_001017.png	50V
data\cghd_text\cghd_011517.png	470K
data\cghd_text\cghd_010473.png	5K
data\cghd_text\cghd_016383.png	12
data\cghd_text\cghd_001032.png	+
data\cghd_text\cghd_016100.png	3
data\cghd_text\cghd_001372.png	2
data\cghd_text\cghd_022385.png	-6
data\cghd_text\cghd_029027.png	+
data\cghd_text\cghd_009954.png	68K
data\cghd_text\cghd_029322.png	4
data\cghd_text\cghd_012285.png	4
data\cghd_text\cghd_012705.png	9
data\cghd_text\cghd_031514.png	0.047
data\cghd_text\cghd_023695.png	120k
data\cghd_text\cghd_027657.png	100K
data\cghd_text\cghd_013205.png	10K
data\cghd_text\cghd_031177.png	+12V
data\cghd_text\cghd_013825.png	1
data\cghd_text\cghd_003897.png	42V
data\cghd_text\cghd_030792.png	16V
data\cghd_text\cghd_018050.png	2
data\cghd_text\cghd_002196.png	7
data\cghd_text\cghd_024215.png	K1
data\cghd_text\cghd_018088.png	12
data\cghd_text\cghd_006785.png	2
data\cghd_text\cghd_003967.png	7
data\cghd_text\cghd_027057.png	1K
data\cghd_text\cghd_001019.png	470uF
data\cghd_text\cghd_000531.png	250Ω
data\cghd_text\cghd_017365.png	6
data\cghd_text\cghd_018780.png	4
data\cghd_text\cghd_003164.png	10nF
data\cghd_text\cghd_024306.png	4
data\cghd_text\cghd_033641.png	10KΩ
data\cghd_text\cghd_013307.png	1
data\cghd_text\cghd_034115.png	V1
data\cghd_text\cghd_025399.png	10
data\cghd_text\cghd_002366.png	10Ω
data\cghd_text\cghd_004730.png	38V
data\cghd_text\cghd_020036.png	4
data\cghd_text\cghd_020098.png	4n7
data\cghd_text\cghd_020152.png	100K-A
data\cghd_text\cghd_000019.png	6V
data\cghd_text\cghd_018154.png	4148
data\cghd_text\cghd_019745.png	10
data\cghd_text\cghd_014865.png	1.5MΩ
data\cghd_text\cghd_007399.png	1H01
data\cghd_text\cghd_025765.png	2
data\cghd_text\cghd_013369.png	3
data\cghd_text\cghd_011505.png	47kΩ
data\cghd_text\cghd_007178.png	47n
data\cghd_text\cghd_012871.png	47KΩ
data\cghd_text\cghd_033013.png	470Ω
data\cghd_text\cghd_012942.png	n3
data\cghd_text\cghd_012233.png	15
data\cghd_text\cghd_019754.png	A1
data\cghd_text\cghd_026985.png	180
data\cghd_text\cghd_020245.png	8
data\cghd_text\cghd_010973.png	2
data\cghd_text\cghd_034870.png	14
data\cghd_text\cghd_005396.png	3
data\cghd_text\cghd_008346.png	+5V
data\cghd_text\cghd_000132.png	9V
data\cghd_text\cghd_017952.png	5
data\cghd_text\cghd_017025.png	7
data\cghd_text\cghd_030670.png	6
data\cghd_text\cghd_016429.png	19
data\cghd_text\cghd_003666.png	555
data\cghd_text\cghd_022639.png	10kΩ
data\cghd_text\cghd_002678.png	4.7k
data\cghd_text\cghd_012987.png	3
data\cghd_text\cghd_018519.png	1K
data\cghd_text\cghd_004571.png	220
data\cghd_text\cghd_033186.png	5
data\cghd_text\cghd_011195.png	9V
data\cghd_text\cghd_032813.png	33KΩ
data\cghd_text\cghd_016592.png	31
data\cghd_text\cghd_011254.png	6
data\cghd_text\cghd_001401.png	5mm
data\cghd_text\cghd_005383.png	+
data\cghd_text\cghd_014770.png	25
data\cghd_text\cghd_015288.png	8
data\cghd_text\cghd_011752.png	1.5KΩ
data\cghd_text\cghd_023391.png	9V
data\cghd_text\cghd_004510.png	3V
data\cghd_text\cghd_008296.png	11
data\cghd_text\cghd_002832.png	7F
data\cghd_text\cghd_027868.png	7400
data\cghd_text\cghd_011807.png	10KΩ
data\cghd_text\cghd_013363.png	1
data\cghd_text\cghd_018482.png	100
data\cghd_text\cghd_017455.png	8
data\cghd_text\cghd_009582.png	100nF
data\cghd_text\cghd_011384.png	5
data\cghd_text\cghd_015318.png	470
data\cghd_text\cghd_012193.png	230V
data\cghd_text\cghd_013165.png	1
data\cghd_text\cghd_032915.png	9V
data\cghd_text\cghd_030829.png	10nF
data\cghd_text\cghd_021733.png	1K
data\cghd_text\cghd_028859.png	2
data\cghd_text\cghd_004774.png	100K
data\cghd_text\cghd_020208.png	1M
data\cghd_text\cghd_022903.png	1K
data\cghd_text\cghd_005370.png	10uF
data\cghd_text\cghd_015482.png	2
data\cghd_text\cghd_019075.png	6
data\cghd_text\cghd_012035.png	100KΩ
data\cghd_text\cghd_027503.png	18K
data\cghd_text\cghd_011928.png	600KΩ
data\cghd_text\cghd_029604.png	1K
data\cghd_text\cghd_001549.png	1
data\cghd_text\cghd_020974.png	3
data\cghd_text\cghd_018039.png	14
data\cghd_text\cghd_027964.png	7400
data\cghd_text\cghd_001445.png	9V
data\cghd_text\cghd_000063.png	5V
data\cghd_text\cghd_014679.png	27
data\cghd_text\cghd_017253.png	9
data\cghd_text\cghd_032123.png	1k
data\cghd_text\cghd_032429.png	7
data\cghd_text\cghd_031003.png	V1
data\cghd_text\cghd_008758.png	0
data\cghd_text\cghd_032425.png	5
data\cghd_text\cghd_015701.png	2
data\cghd_text\cghd_009226.png	18
data\cghd_text\cghd_009202.png	21
data\cghd_text\cghd_027394.png	470
data\cghd_text\cghd_024624.png	2K
data\cghd_text\cghd_000434.png	A1.5
data\cghd_text\cghd_029884.png	14
data\cghd_text\cghd_026077.png	120Ω
data\cghd_text\cghd_021582.png	1K
data\cghd_text\cghd_018481.png	1M
data\cghd_text\cghd_016299.png	12
data\cghd_text\cghd_001217.png	1K
data\cghd_text\cghd_000979.png	0-18
data\cghd_text\cghd_012367.png	8
data\cghd_text\cghd_013026.png	3
data\cghd_text\cghd_002135.png	100K
data\cghd_text\cghd_029650.png	14
data\cghd_text\cghd_030888.png	10nF
data\cghd_text\cghd_002073.png	12V
data\cghd_text\cghd_034743.png	100K
data\cghd_text\cghd_000739.png	475Ω
data\cghd_text\cghd_008849.png	25
data\cghd_text\cghd_008950.png	7
data\cghd_text\cghd_014917.png	220pF
data\cghd_text\cghd_033501.png	6
data\cghd_text\cghd_030236.png	A2
data\cghd_text\cghd_003689.png	4040
data\cghd_text\cghd_021944.png	1
data\cghd_text\cghd_005720.png	2
data\cghd_text\cghd_024714.png	V
data\cghd_text\cghd_000995.png	1A
data\cghd_text\cghd_003942.png	22K
data\cghd_text\cghd_006706.png	3
data\cghd_text\cghd_023484.png	10kΩ
data\cghd_text\cghd_008608.png	3
data\cghd_text\cghd_026134.png	1
data\cghd_text\cghd_033280.png	330Ω
data\cghd_text\cghd_003934.png	32V
data\cghd_text\cghd_001146.png	4
data\cghd_text\cghd_009747.png	M1
data\cghd_text\cghd_019462.png	7
data\cghd_text\cghd_013680.png	1K
data\cghd_text\cghd_019958.png	9
data\cghd_text\cghd_002493.png	1K
data\cghd_text\cghd_027931.png	4
data\cghd_text\cghd_029750.png	F3.1
data\cghd_text\cghd_033527.png	4
data\cghd_text\cghd_007055.png	10u
data\cghd_text\cghd_012060.png	6
data\cghd_text\cghd_021652.png	10K
data\cghd_text\cghd_003186.png	33Ω
data\cghd_text\cghd_005226.png	A1
data\cghd_text\cghd_023698.png	5K6
data\cghd_text\cghd_014583.png	6
data\cghd_text\cghd_034765.png	1.5K
data\cghd_text\cghd_000000.png	110kV/3
data\cghd_text\cghd_032801.png	33KΩ
data\cghd_text\cghd_023937.png	0V
data\cghd_text\cghd_035461.png	+
data\cghd_text\cghd_030357.png	6
data\cghd_text\cghd_019933.png	15
data\cghd_text\cghd_003514.png	12V
data\cghd_text\cghd_002545.png	10uF
data\cghd_text\cghd_008143.png	1KΩ
data\cghd_text\cghd_023719.png	6k8
data\cghd_text\cghd_022783.png	10u
data\cghd_text\cghd_025920.png	3V3
data\cghd_text\cghd_005415.png	8
data\cghd_text\cghd_012804.png	13
data\cghd_text\cghd_027941.png	6
data\cghd_text\cghd_032863.png	8
data\cghd_text\cghd_023830.png	10K
data\cghd_text\cghd_023842.png	1K
data\cghd_text\cghd_006761.png	10uF
data\cghd_text\cghd_010942.png	+5V
data\cghd_text\cghd_005928.png	+
data\cghd_text\cghd_019339.png	7805
data\cghd_text\cghd_031106.png	25V
data\cghd_text\cghd_034089.png	+5V
data\cghd_text\cghd_018126.png	2
data\cghd_text\cghd_016747.png	9
data\cghd_text\cghd_027559.png	180
data\cghd_text\cghd_019513.png	100n
data\cghd_text\cghd_030138.png	A1
data\cghd_text\cghd_001781.png	1K
data\cghd_text\cghd_015197.png	22p
data\cghd_text\cghd_011827.png	33Ω
data\cghd_text\cghd_028651.png	22K
data\cghd_text\cghd_007023.png	330K
data\cghd_text\cghd_009784.png	2
data\cghd_text\cghd_006558.png	6
data\cghd_text\cghd_030592.png	470Ω
data\cghd_text\cghd_003497.png	1.0u
data\cghd_text\cghd_028609.png	3
data\cghd_text\cghd_001365.png	1
data\cghd_text\cghd_027216.png	30.1
data\cghd_text\cghd_022702.png	22K
data\cghd_text\cghd_006704.png	1uF
data\cghd_text\cghd_027995.png	1
data\cghd_text\cghd_034683.png	14
data\cghd_text\cghd_014599.png	28
data\cghd_text\cghd_026947.png	47K
data\cghd_text\cghd_014799.png	5
data\cghd_text\cghd_009351.png	0V
data\cghd_text\cghd_003904.png	22K
data\cghd_text\cghd_027505.png	10K
data\cghd_text\cghd_008530.png	1
data\cghd_text\cghd_023718.png	1M
data\cghd_text\cghd_006415.png	2
data\cghd_text\cghd_025123.png	12V
data\cghd_text\cghd_031948.png	1k
data\cghd_text\cghd_006605.png	7
data\cghd_text\cghd_005238.png	-
data\cghd_text\cghd_032211.png	0V
data\cghd_text\cghd_016740.png	33pF
data\cghd_text\cghd_021106.png	6
data\cghd_text\cghd_008704.png	23
data\cghd_text\cghd_026584.png	0Ω
data\cghd_text\cghd_030605.png	10kΩ
data\cghd_text\cghd_020424.png	A
data\cghd_text\cghd_006972.png	11K
data\cghd_text\cghd_013014.png	1
data\cghd_text\cghd_023728.png	120k
data\cghd_text\cghd_016683.png	6
data\cghd_text\cghd_012062.png	1
data\cghd_text\cghd_002641.png	100
data\cghd_text\cghd_011448.png	10nF
data\cghd_text\cghd_000234.png	+
data\cghd_text\cghd_024872.png	1011
data\cghd_text\cghd_007520.png	A1
data\cghd_text\cghd_006843.png	10uF
data\cghd_text\cghd_017737.png	2
data\cghd_text\cghd_006557.png	2
data\cghd_text\cghd_019680.png	-
data\cghd_text\cghd_020882.png	33pF
data\cghd_text\cghd_035395.png	+
data\cghd_text\cghd_000770.png	480Ω
data\cghd_text\cghd_032180.png	1k
data\cghd_text\cghd_009490.png	1
data\cghd_text\cghd_016719.png	27
data\cghd_text\cghd_000630.png	680Ω
data\cghd_text\cghd_021873.png	9
data\cghd_text\cghd_030974.png	-
data\cghd_text\cghd_010582.png	-
data\cghd_text\cghd_010468.png	200
data\cghd_text\cghd_016403.png	12
data\cghd_text\cghd_032581.png	6
data\cghd_text\cghd_005001.png	10K
data\cghd_text\cghd_021624.png	10K
data\cghd_text\cghd_032245.png	0
data\cghd_text\cghd_024410.png	18n
data\cghd_text\cghd_028553.png	3.1V..3.2V
data\cghd_text\cghd_015685.png	10K
data\cghd_text\cghd_020941.png	A
data\cghd_text\cghd_023240.png	330k
data\cghd_text\cghd_034586.png	220Ω
data\cghd_text\cghd_001851.png	330K
data\cghd_text\cghd_007840.png	100
data\cghd_text\cghd_007451.png	1
data\cghd_text\cghd_008544.png	21
data\cghd_text\cghd_033687.png	8
data\cghd_text\cghd_005212.png	-
data\cghd_text\cghd_034303.png	2
data\cghd_text\cghd_006791.png	5
data\cghd_text\cghd_002931.png	50V
data\cghd_text\cghd_029275.png	8Ω
data\cghd_text\cghd_019652.png	100
data\cghd_text\cghd_021244.png	1
data\cghd_text\cghd_031200.png	470K
data\cghd_text\cghd_002036.png	100K
data\cghd_text\cghd_029987.png	14
data\cghd_text\cghd_016136.png	3
data\cghd_text\cghd_002279.png	9V
data\cghd_text\cghd_027123.png	230V
data\cghd_text\cghd_030472.png	A2
data\cghd_text\cghd_035394.png	4.7Ω
data\cghd_text\cghd_011080.png	470
data\cghd_text\cghd_018315.png	6
data\cghd_text\cghd_022151.png	17V
data\cghd_text\cghd_032852.png	0V
data\cghd_text\cghd_031043.png	+
data\cghd_text\cghd_005353.png	8
data\cghd_text\cghd_024982.png	20Ω
data\cghd_text\cghd_003350.png	1K
data\cghd_text\cghd_004966.png	2.2K
data\cghd_text\cghd_004584.png	100nF
data\cghd_text\cghd_002224.png	100K
data\cghd_text\cghd_002093.png	10nF
data\cghd_text\cghd_016275.png	33pF
data\cghd_text\cghd_025546.png	-
data\cghd_text\cghd_033198.png	10K
data\cghd_text\cghd_034711.png	5
data\cghd_text\cghd_032325.png	220Ω
data\cghd_text\cghd_010617.png	15
data\cghd_text\cghd_025711.png	HV1
data\cghd_text\cghd_001131.png	2
data\cghd_text\cghd_018841.png	10K
data\cghd_text\cghd_019772.png	6
data\cghd_text\cghd_020187.png	100K-A
data\cghd_text\cghd_010613.png	5
data\cghd_text\cghd_027094.png	1A
data\cghd_text\cghd_031530.png	470
data\cghd_text\cghd_018954.png	10V
data\cghd_text\cghd_010330.png	M2
data\cghd_text\cghd_022017.png	17
data\cghd_text\cghd_027642.png	+9V
data\cghd_text\cghd_020430.png	4
data\cghd_text\cghd_010699.png	47nF
data\cghd_text\cghd_023910.png	+
data\cghd_text\cghd_004060.png	9
data\cghd_text\cghd_032796.png	2
data\cghd_text\cghd_020398.png	0V
data\cghd_text\cghd_017714.png	13
data\cghd_text\cghd_019447.png	F1
data\cghd_text\cghd_009331.png	100K
data\cghd_text\cghd_014854.png	10KΩ
data\cghd_text\cghd_034106.png	9V
data\cghd_text\cghd_022680.png	100K
data\cghd_text\cghd_014940.png	220pF
data\cghd_text\cghd_034499.png	4
data\cghd_text\cghd_003530.png	1
data\cghd_text\cghd_034744.png	100K
data\cghd_text\cghd_014553.png	5
data\cghd_text\cghd_019330.png	7.5V
data\cghd_text\cghd_012518.png	2
data\cghd_text\cghd_014636.png	5K
data\cghd_text\cghd_004837.png	6
data\cghd_text\cghd_034033.png	.01
data\cghd_text\cghd_025861.png	3V3
data\cghd_text\cghd_002579.png	10k
data\cghd_text\cghd_013809.png	11
data\cghd_text\cghd_020141.png	100K
data\cghd_text\cghd_027222.png	555
data\cghd_text\cghd_009702.png	1KΩ
data\cghd_text\cghd_004720.png	20K
data\cghd_text\cghd_023537.png	220kΩ
data\cghd_text\cghd_032441.png	100Ω
data\cghd_text\cghd_009770.png	Vp
data\cghd_text\cghd_028770.png	20mA
data\cghd_text\cghd_013860.png	10K
data\cghd_text\cghd_012321.png	3
data\cghd_text\cghd_032383.png	3
data\cghd_text\cghd_017937.png	1M
data\cghd_text\cghd_016519.png	27
data\cghd_text\cghd_032909.png	1
data\cghd_text\cghd_027593.png	100K
data\cghd_text\cghd_033781.png	F1
data\cghd_text\cghd_033789.png	5
data\cghd_text\cghd_029738.png	13
data\cghd_text\cghd_017658.png	+5
data\cghd_text\cghd_006555.png	5
data\cghd_text\cghd_010294.png	1K
data\cghd_text\cghd_015882.png	2
data\cghd_text\cghd_019028.png	19
data\cghd_text\cghd_008937.png	3V3
data\cghd_text\cghd_032336.png	1
data\cghd_text\cghd_023388.png	1K
data\cghd_text\cghd_011670.png	22K
data\cghd_text\cghd_010722.png	21
data\cghd_text\cghd_025888.png	2-8mA
data\cghd_text\cghd_031472.png	2.2K
data\cghd_text\cghd_008080.png	100Ω
data\cghd_text\cghd_020914.png	0.01
data\cghd_text\cghd_001934.png	-
data\cghd_text\cghd_024696.png	6
data\cghd_text\cghd_035063.png	12
data\cghd_text\cghd_031810.png	0723
data\cghd_text\cghd_006330.png	4
data\cghd_text\cghd_030971.png	+
data\cghd_text\cghd_014728.png	1
data\cghd_text\cghd_002193.png	2
data\cghd_text\cghd_025207.png	12V
data\cghd_text\cghd_029193.png	110Ω
data\cghd_text\cghd_032927.png	2
data\cghd_text\cghd_017341.png	5
data\cghd_text\cghd_002664.png	100
data\cghd_text\cghd_022710.png	10k
data\cghd_text\cghd_028513.png	+5V
data\cghd_text\cghd_022617.png	100KΩ
data\cghd_text\cghd_033935.png	3
data\cghd_text\cghd_016743.png	11
data\cghd_text\cghd_018180.png	3
data\cghd_text\cghd_029390.png	12K
data\cghd_text\cghd_035029.png	11
data\cghd_text\cghd_024102.png	K2
data\cghd_text\cghd_033407.png	12V
data\cghd_text\cghd_007766.png	2K2
data\cghd_text\cghd_007501.png	3K7
data\cghd_text\cghd_020057.png	100pF
data\cghd_text\cghd_018019.png	11
data\cghd_text\cghd_034442.png	1M
